W T
17823.7 0.543826
17827 0.543779
17830.3 0.543733
17833.6 0.543687
17836.9 0.543641
17840.2 0.543595
17843.5 0.54355
17846.8 0.543504
17850.1 0.543459
17853.4 0.543414
17856.7 0.543369
17860 0.543325
17863.3 0.543281
17866.6 0.543236
17869.9 0.543192
17873.1 0.543149
17876.4 0.543105
17879.7 0.543062
17883 0.543019
17886.3 0.542976
17889.6 0.542933
17892.9 0.542891
17896.2 0.542849
17899.5 0.542807
17902.8 0.542766
17906.1 0.542724
17909.4 0.542683
17912.7 0.542642
17916 0.542602
17919.3 0.542561
17922.6 0.542521
17925.9 0.542482
17929.2 0.542442
17932.5 0.542403
17935.7 0.542365
17939 0.542326
17942.3 0.542288
17945.6 0.54225
17948.9 0.542213
17952.2 0.542176
17955.5 0.542139
17958.8 0.542103
17962.1 0.542067
17965.4 0.542032
17968.7 0.541997
17972 0.541963
17975.3 0.541929
17978.6 0.541896
17981.9 0.541863
17985.2 0.54183
17988.5 0.541799
17991.8 0.541768
17995.1 0.541737
17998.4 0.541708
18001.6 0.541679
18004.9 0.541651
18008.2 0.541624
18011.5 0.541598
18014.8 0.541573
18018.1 0.54155
18021.4 0.541527
18024.7 0.541507
18028 0.541488
18031.3 0.541471
18034.6 0.541457
18037.9 0.541447
18041.2 0.541442
18044.5 0.541445
18047.8 0.541524
18051.1 0.541641
18054.4 0.541748
18057.7 0.541851
18061 0.541949
18064.3 0.542045
18067.5 0.542138
18070.8 0.542229
18074.1 0.542319
18077.4 0.542407
18080.7 0.542493
18084 0.542578
18087.3 0.542662
18090.6 0.542745
18093.9 0.542827
18097.2 0.542908
18100.5 0.542988
18103.8 0.543068
18107.1 0.543146
18110.4 0.543224
18113.7 0.543301
18117 0.543377
18120.3 0.543453
18123.6 0.543528
18126.9 0.543602
18130.1 0.543676
18133.4 0.543749
18136.7 0.543822
18140 0.543894
18143.3 0.543965
18146.6 0.544036
18149.9 0.544107
18153.2 0.544177
18156.5 0.544247
18159.8 0.544316
18163.1 0.544385
18166.4 0.544453
18169.7 0.544521
18173 0.544588
18176.3 0.544655
18179.6 0.544721
18182.9 0.544788
18186.2 0.544853
18189.5 0.544919
18192.8 0.544984
18196 0.545048
18199.3 0.545112
18202.6 0.545176
18205.9 0.54524
18209.2 0.545303
18212.5 0.545366
18215.8 0.545428
18219.1 0.54549
18222.4 0.545552
18225.7 0.545613
18229 0.545674
18232.3 0.545735
18235.6 0.545795
18238.9 0.545855
18242.2 0.545914
18245.5 0.545974
18248.8 0.546033
18252.1 0.546091
18255.4 0.54615
18258.6 0.546208
18261.9 0.546265
18265.2 0.546322
18268.5 0.546379
18271.8 0.546436
18275.1 0.546492
18278.4 0.546548
18281.7 0.546604
18285 0.546659
18288.3 0.546714
18291.6 0.546769
18294.9 0.546823
18298.2 0.546878
18301.5 0.546931
18304.8 0.546985
18308.1 0.547038
18311.4 0.54709
18314.7 0.547143
18318 0.547195
18321.3 0.547246
18324.5 0.547298
18327.8 0.547349
18331.1 0.547399
18334.4 0.54745
18337.7 0.5475
18341 0.547549
18344.3 0.547599
18347.6 0.547648
18350.9 0.547696
18354.2 0.547744
18357.5 0.547792
18360.8 0.547839
18364.1 0.547887
18367.4 0.547933
18370.7 0.547979
18374 0.548025
18377.3 0.548071
18380.6 0.548116
18383.9 0.54816
18387.1 0.548205
18390.4 0.548248
18393.7 0.548292
18397 0.548335
18400.3 0.548377
18403.6 0.548419
18406.9 0.548461
18410.2 0.548502
18413.5 0.548542
18416.8 0.548582
18420.1 0.548621
18423.4 0.54866
18426.7 0.548699
18430 0.548737
18433.3 0.548774
18436.6 0.54881
18439.9 0.548846
18443.2 0.548882
18446.5 0.548916
18449.8 0.54895
18453 0.548983
18456.3 0.549016
18459.6 0.549048
18462.9 0.549078
18466.2 0.549108
18469.5 0.549137
18472.8 0.549166
18476.1 0.549193
18479.4 0.549219
18482.7 0.549243
18486 0.549267
18489.3 0.549289
18492.6 0.54931
18495.9 0.549329
18499.2 0.549347
18502.5 0.549363
18505.8 0.549376
18509.1 0.549387
18512.4 0.549395
18515.7 0.5494
18518.9 0.5494
18522.2 0.549395
18525.5 0.549382
18528.8 0.549354
18532.1 0.54918
18535.4 0.548962
18538.7 0.548757
18542 0.54856
18545.3 0.548369
18548.6 0.548182
18551.9 0.548
18555.2 0.54782
18558.5 0.547643
18561.8 0.547468
18565.1 0.547296
18568.4 0.547126
18571.7 0.546958
18575 0.546791
18578.3 0.546626
18581.5 0.546462
18584.8 0.5463
18588.1 0.546139
18591.4 0.54598
18594.7 0.545821
18598 0.545664
18601.3 0.545508
18604.6 0.545353
18607.9 0.545199
18611.2 0.545046
18614.5 0.544893
18617.8 0.544742
18621.1 0.544591
18624.4 0.544442
18627.7 0.544293
18631 0.544145
18634.3 0.543997
18637.6 0.54385
18640.9 0.543704
18644.2 0.543559
18647.4 0.543414
18650.7 0.543271
18654 0.543127
18657.3 0.542984
18660.6 0.542842
18663.9 0.542701
18667.2 0.54256
18670.5 0.542419
18673.8 0.542279
18677.1 0.54214
18680.4 0.542001
18683.7 0.541863
18687 0.541725
18690.3 0.541588
18693.6 0.541451
18696.9 0.541314
18700.2 0.541179
18703.5 0.541043
18706.8 0.540908
18710 0.540774
18713.3 0.540639
18716.6 0.540506
18719.9 0.540372
18723.2 0.540239
18726.5 0.540107
18729.8 0.539975
18733.1 0.539843
18736.4 0.539712
18739.7 0.539581
18743 0.53945
18746.3 0.53932
18749.6 0.53919
18752.9 0.539061
18756.2 0.538932
18759.5 0.538803
18762.8 0.538674
18766.1 0.538546
18769.4 0.538418
18772.7 0.538291
18775.9 0.538164
18779.2 0.538037
18782.5 0.53791
18785.8 0.537784
18789.1 0.537658
18792.4 0.537533
18795.7 0.537407
18799 0.537282
18802.3 0.537158
18805.6 0.537033
18808.9 0.536909
18812.2 0.536785
18815.5 0.536662
18818.8 0.536538
18822.1 0.536415
18825.4 0.536293
18828.7 0.53617
18832 0.536048
18835.3 0.535926
18838.6 0.535804
18841.8 0.535683
18845.1 0.535561
18848.4 0.53544
18851.7 0.53532
18855 0.535199
18858.3 0.535079
18861.6 0.534959
18864.9 0.534839
18868.2 0.534719
18871.5 0.5346
18874.8 0.534481
18878.1 0.534362
18881.4 0.534243
18884.7 0.534125
18888 0.534007
18891.3 0.533889
18894.6 0.533771
18897.9 0.533653
18901.2 0.533536
18904.4 0.533419
18907.7 0.533302
18911 0.533185
18914.3 0.533069
18917.6 0.532952
18920.9 0.532836
18924.2 0.53272
18927.5 0.532605
18930.8 0.532489
18934.1 0.532374
18937.4 0.532259
18940.7 0.532144
18944 0.532029
18947.3 0.531914
18950.6 0.5318
18953.9 0.531686
18957.2 0.531571
18960.5 0.531458
18963.8 0.531344
18967.1 0.53123
18970.3 0.531117
18973.6 0.531004
18976.9 0.530891
18980.2 0.530778
18983.5 0.530665
18986.8 0.530553
18990.1 0.530441
18993.4 0.530329
18996.7 0.530217
19000 0.530105
19003.3 0.529993
19006.6 0.529882
19009.9 0.52977
19013.2 0.529659
19016.5 0.529548
19019.8 0.529437
19023.1 0.529327
19026.4 0.529216
19029.7 0.529106
19032.9 0.528996
19036.2 0.528885
19039.5 0.528776
19042.8 0.528666
19046.1 0.528556
19049.4 0.528447
19052.7 0.528337
19056 0.528228
19059.3 0.528119
19062.6 0.52801
19065.9 0.527902
