W N1 N2
13976.7 -0.000378475 3.08964e-05
13985 -0.000382983 2.90579e-05
13993.3 -0.000386759 2.58768e-05
14001.7 -0.000390041 2.26134e-05
14010 -0.000392995 1.9266e-05
14018.3 -0.000395518 1.58301e-05
14026.6 -0.000397308 1.32356e-05
14034.9 -0.000399963 1.11434e-05
14043.3 -0.000402992 8.95774e-06
14051.6 -0.0004063 6.67429e-06
14059.9 -0.000409949 4.29044e-06
14068.2 -0.000413853 1.27842e-06
14076.5 -0.000417531 -1.91957e-06
14084.9 -0.000421177 -5.23373e-06
14093.2 -0.000424817 -8.66762e-06
14101.5 -0.000428463 -1.22278e-05
14109.8 -0.000432088 -1.59392e-05
14118.1 -0.000435668 -1.97839e-05
14126.5 -0.000439165 -2.37681e-05
14134.8 -0.000442468 -2.78996e-05
14143.1 -0.000445041 -3.1689e-05
14151.4 -0.000448419 -3.46034e-05
14159.7 -0.000452392 -3.76724e-05
14168.1 -0.000456829 -4.09038e-05
14176.4 -0.000461842 -4.43003e-05
14184.7 -0.000467924 -4.88025e-05
14193 -0.000473117 -5.43941e-05
14201.3 -0.000477923 -6.01837e-05
14209.7 -0.000482475 -6.61759e-05
14218 -0.000486735 -7.23777e-05
14226.3 -0.000490602 -7.83135e-05
14234.6 -0.000494794 -8.42396e-05
14242.9 -0.000499037 -9.03999e-05
14251.2 -0.000503214 -9.68047e-05
14259.6 -0.000507069 -0.000103466
14267.9 -0.000510576 -0.000109137
14276.2 -0.000515149 -0.000114765
14284.5 -0.000520276 -0.000120669
14292.8 -0.000525971 -0.000126859
14301.2 -0.000532672 -0.000133336
14309.5 -0.000540005 -0.000142296
14317.8 -0.000546215 -0.000151814
14326.1 -0.000552162 -0.000161656
14334.4 -0.000558127 -0.000171818
14342.8 -0.000564893 -0.000182257
14351.1 -0.000571543 -0.000196051
14359.4 -0.000576225 -0.000210367
14367.7 -0.000579741 -0.000225107
14376 -0.000582035 -0.000240286
14384.4 -0.000582 -0.000255868
14392.7 -0.000581597 -0.000268146
14401 -0.000582251 -0.000280779
14409.3 -0.000582999 -0.000293806
14417.6 -0.000583554 -0.00030722
14426 -0.000583472 -0.000320865
14434.3 -0.000583674 -0.000333951
14442.6 -0.000584102 -0.000347636
14450.9 -0.000584493 -0.000361854
14459.2 -0.00058483 -0.000376612
14467.6 -0.000585522 -0.000392106
14475.9 -0.000585089 -0.000409523
14484.2 -0.000583482 -0.000427095
14492.5 -0.000581084 -0.000444873
14500.8 -0.000578085 -0.000462775
14509.2 -0.00057531 -0.000480459
14517.5 -0.000572479 -0.000501674
14525.8 -0.000566752 -0.000523637
14534.1 -0.000558878 -0.000546006
14542.4 -0.00054863 -0.000568751
