W E1 E2
14114.1 -0.0022866 -9.5896e-06
14119.1 -0.00230023 -2.2412e-05
14124.1 -0.00231396 -3.55009e-05
14129.1 -0.00232779 -4.88633e-05
14134.1 -0.00234172 -6.25065e-05
14139.2 -0.00235575 -7.6438e-05
14144.2 -0.00236989 -9.06654e-05
14149.2 -0.00238412 -0.000105197
14154.2 -0.00239845 -0.00012004
14159.3 -0.00241288 -0.000135204
14164.3 -0.00242741 -0.000150696
14169.3 -0.00244204 -0.000166527
14174.3 -0.00245675 -0.000182705
14179.3 -0.00247156 -0.00019924
14184.4 -0.00248647 -0.000216141
14189.4 -0.00250146 -0.000233419
14194.4 -0.00251653 -0.000251084
14199.4 -0.00253169 -0.000269147
14204.4 -0.00254694 -0.000287618
14209.5 -0.00256226 -0.000306509
14214.5 -0.00257765 -0.000325832
14219.5 -0.00259312 -0.000345599
14224.5 -0.00260866 -0.000365822
14229.6 -0.00262425 -0.000386514
14234.6 -0.00263991 -0.000407688
14239.6 -0.00265562 -0.000429358
14244.6 -0.00267137 -0.000451537
14249.6 -0.00268717 -0.000474239
14254.7 -0.002703 -0.00049748
14259.7 -0.00271886 -0.000521274
14264.7 -0.00273474 -0.000545638
14269.7 -0.00275063 -0.000570586
14274.7 -0.00276652 -0.000596135
14279.8 -0.0027824 -0.000622301
14284.8 -0.00279827 -0.000649103
14289.8 -0.0028141 -0.000676557
14294.8 -0.0028299 -0.000704681
14299.9 -0.00284564 -0.000733493
14304.9 -0.00286131 -0.000763013
14309.9 -0.0028769 -0.00079326
14314.9 -0.00289239 -0.000824252
14319.9 -0.00290777 -0.00085601
14325 -0.00292301 -0.000888554
14330 -0.0029381 -0.000921904
14335 -0.00295301 -0.000956081
14340 -0.00296772 -0.000991107
14345.1 -0.00298222 -0.001027
14350.1 -0.00299647 -0.00106379
14355.1 -0.00301044 -0.00110148
14360.1 -0.00302412 -0.00114012
14365.1 -0.00303746 -0.0011797
14370.2 -0.00305044 -0.00122027
14375.2 -0.00306301 -0.00126183
14380.2 -0.00307515 -0.00130441
14385.2 -0.00308682 -0.00134803
14390.2 -0.00309797 -0.00139272
14395.3 -0.00310856 -0.00143848
14400.3 -0.00311854 -0.00148534
14405.3 -0.00312787 -0.00153332
14410.3 -0.0031365 -0.00158244
14415.4 -0.00314436 -0.0016327
