W N1 N2
14957.5 0.000375173 -0.000574086
14962.5 0.000376447 -0.00056376
14967.6 0.00037747 -0.000553617
14972.6 0.000378256 -0.000543684
14977.6 0.00037882 -0.000533998
14982.7 0.000379182 -0.000524622
14987.7 0.000379516 -0.000515866
14992.8 0.000380401 -0.000506927
14997.8 0.000381049 -0.000497829
15002.9 0.000381484 -0.000488741
15007.9 0.00038172 -0.000479715
15013 0.000381766 -0.000470773
15018 0.000381634 -0.00046193
15023.1 0.000381329 -0.00045319
15028.1 0.00038086 -0.000444544
15033.2 0.000380163 -0.000435924
15038.2 0.000379163 -0.000427582
15043.3 0.000378057 -0.00041947
15048.3 0.000376847 -0.000411549
15053.4 0.000375539 -0.000403809
15058.4 0.000374142 -0.000396243
15063.4 0.000372663 -0.000388848
15068.5 0.000371109 -0.000381619
15073.5 0.000369489 -0.000374558
15078.6 0.000367834 -0.000367679
15083.6 0.000366163 -0.000360901
15088.7 0.000364433 -0.00035424
15093.7 0.000362649 -0.0003477
15098.8 0.000360816 -0.000341278
15103.8 0.000358939 -0.000334968
15108.9 0.000357019 -0.000328758
15113.9 0.000355055 -0.000322636
15119 0.00035304 -0.00031657
15124 0.000350845 -0.000310459
15129.1 0.000348404 -0.000304708
15134.1 0.000345999 -0.00029918
15139.1 0.00034361 -0.000293814
15144.2 0.000341232 -0.000288583
15149.2 0.000338861 -0.000283473
15154.3 0.000336495 -0.00027847
15159.3 0.000334131 -0.000273558
15164.4 0.000331762 -0.000268719
15169.4 0.000329324 -0.000263885
15174.5 0.000326746 -0.00025929
15179.5 0.000324217 -0.000254858
15184.6 0.000321719 -0.000250544
15189.6 0.000319244 -0.000246332
15194.7 0.00031679 -0.00024221
15199.7 0.000314352 -0.000238168
15204.8 0.000311926 -0.000234196
15209.8 0.000309505 -0.000230278
15214.9 0.000307058 -0.000226356
15219.9 0.000304444 -0.00022262
15224.9 0.000301894 -0.000219042
15230 0.000299383 -0.000215567
15235 0.000296901 -0.00021218
15240.1 0.000294445 -0.000208874
15245.1 0.000292012 -0.000205641
15250.2 0.000289599 -0.000202476
15255.2 0.000287201 -0.000199372
15260.3 0.000284811 -0.000196313
15265.3 0.000282357 -0.000193337
15270.4 0.000279936 -0.000190487
15275.4 0.000277547 -0.000187719
15280.5 0.000275184 -0.000185028
15285.5 0.000272848 -0.000182411
15290.6 0.000270537 -0.000179867
15295.6 0.000268254 -0.000177398
15300.6 0.000266 -0.000175008
15305.7 0.000263786 -0.000172714
15310.7 0.000261728 -0.000170498
