W TT
16114.8 -5.5795e-05
16123.1 -5.9001e-05
16131.4 -6.16144e-05
16139.8 -6.3544e-05
16148.1 -6.46963e-05
16156.4 -6.49308e-05
16164.7 -6.4303e-05
16173 -6.2788e-05
16181.4 -6.03835e-05
16189.7 -5.71085e-05
16198 -5.30019e-05
16206.3 -4.81281e-05
16214.6 -4.2546e-05
16223 -3.63353e-05
16231.3 -2.9584e-05
16239.6 -2.23833e-05
16247.9 -1.48241e-05
16256.2 -6.99499e-06
16264.6 1.00638e-06
16272.9 9.10379e-06
16281.2 1.72301e-05
16289.5 2.53263e-05
16297.8 3.33412e-05
16306.2 4.12269e-05
16314.5 4.89227e-05
16322.8 5.64257e-05
16331.1 6.37147e-05
16339.4 7.07741e-05
16347.8 7.75925e-05
16356.1 8.41603e-05
16364.4 9.03965e-05
16372.7 9.63572e-05
16381 0.000102067
16389.4 0.000107531
16397.7 0.000112754
16406 0.000117746
16414.3 0.000122551
16422.6 0.000127204
16430.9 0.000131642
16439.3 0.000135874
16447.6 0.000139909
16455.9 0.000143751
16464.2 0.000147402
16472.5 0.000150735
16480.9 0.000153888
16489.2 0.000156891
16497.5 0.000159748
16505.8 0.000162467
16514.1 0.000165058
16522.5 0.000167601
16530.8 0.000170153
16539.1 0.000172569
16547.4 0.000174859
16555.7 0.000177029
16564.1 0.000179083
16572.4 0.000181018
16580.7 0.000182712
16589 0.000184279
16597.3 0.000185764
16605.7 0.000187167
16614 0.000188492
16622.3 0.000189743
16630.6 0.00019095
16638.9 0.000192236
16647.3 0.000193429
16655.6 0.000194542
16663.9 0.000195581
16672.2 0.00019655
16680.5 0.000197453
16688.9 0.000198327
16697.2 0.000199169
16705.5 0.000199941
16713.8 0.000200647
16722.1 0.000201289
16730.4 0.000201867
16738.8 0.000202378
16747.1 0.000202708
16755.4 0.000202966
16763.7 0.000203187
16772 0.000203369
16780.4 0.000203514
16788.7 0.000203627
16797 0.000203721
16805.3 0.00020397
16813.6 0.000204162
16822 0.000204305
16830.3 0.000204402
16838.6 0.000204457
16846.9 0.000204469
16855.2 0.000204398
16863.6 0.000204164
16871.9 0.000203924
16880.2 0.00020367
16888.5 0.000203402
16896.8 0.000203124
16905.2 0.000202841
16913.5 0.000202624
16921.8 0.000202498
16930.1 0.000202345
16938.4 0.000202175
16946.8 0.000201991
16955.1 0.000201797
16963.4 0.000201595
16971.7 0.000201372
16980 0.000201136
16988.4 0.000200902
16996.7 0.000200674
17005 0.000200451
17013.3 0.000200235
17021.6 0.000200025
17030 0.000199769
17038.3 0.000199493
17046.6 0.000199244
17054.9 0.000199019
17063.2 0.000198821
17071.5 0.000198649
17079.9 0.000198508
17088.2 0.000198445
17096.5 0.000198439
17104.8 0.000198453
17113.1 0.00019849
17121.5 0.000198552
17129.8 0.000198638
17138.1 0.000198746
17146.4 0.000198843
17154.7 0.000198942
17163.1 0.00019907
17171.4 0.000199225
17179.7 0.000199403
17188 0.000199603
17196.3 0.000199819
17204.7 0.000199983
17213 0.000200102
17221.3 0.000200252
17229.6 0.000200427
17237.9 0.000200624
17246.3 0.00020084
17254.6 0.000201078
17262.9 0.000201388
17271.2 0.000201801
17279.5 0.000202202
17287.9 0.000202594
17296.2 0.000202977
17304.5 0.000203349
17312.8 0.000203707
17321.1 0.000204041
17329.5 0.000204328
17337.8 0.000204601
17346.1 0.000204854
17354.4 0.000205084
17362.7 0.000205289
17371 0.000205466
17379.4 0.000205613
17387.7 0.000205727
17396 0.000205808
17404.3 0.000205854
17412.6 0.000205864
17421 0.000205835
17429.3 0.000205768
17437.6 0.000205664
17445.9 0.000205549
17454.2 0.000205399
17462.6 0.000205198
17470.9 0.000204948
17479.2 0.000204648
17487.5 0.000204296
17495.8 0.000203889
17504.2 0.000203392
17512.5 0.000202794
17520.8 0.000202164
17529.1 0.000201498
17537.4 0.000200793
17545.8 0.000200052
17554.1 0.000199277
17562.4 0.00019848
17570.7 0.000197769
17579 0.000196995
17587.4 0.00019616
17595.7 0.000195268
17604 0.00019432
17612.3 0.000193314
17620.6 0.000192244
17629 0.000191007
17637.3 0.000189679
17645.6 0.000188343
17653.9 0.00018699
17662.2 0.000185618
17670.5 0.000184227
17678.9 0.000182823
17687.2 0.000181423
17695.5 0.000180138
17703.8 0.000178785
17712.1 0.000177383
17720.5 0.000175938
17728.8 0.000174452
17737.1 0.000172925
17745.4 0.000171354
17753.7 0.000169691
17762.1 0.00016798
17770.4 0.000166261
17778.7 0.000164527
17787 0.000162777
17795.3 0.000161011
17803.7 0.000159229
17812 0.000157431
17820.3 0.000155618
17828.6 0.000153792
